commit_link,Name,Did this fix a bug?,Safety relevant bug?,Timing + Execution,Memory,Exchange of Info,Reasoning
https://github.com/torvalds/linux/commit/cfaa80c91f6f99b9342b6557f0f0e1143e434066,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/81cc8779cf46d6323c83475706b61d9552230274,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/1832403cd41ca6b19b24e9d64f79cb08d920ca44,Michel M.,?,,,,,not sure
https://github.com/torvalds/linux/commit/954998b60caa8f2a3bf3abe490de6f08d283687a,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/6cc834ba62998c65c42d0c63499bdd35067151ec,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/139a27854bf5ce93ff9805f9f7683b88c13074dc,Michel M.,yes,,,,,commit msg indicates that this change fixes a bug introduced in another commit
https://github.com/torvalds/linux/commit/f5b2c10b57615828b531bb0ae56bd6325a41167e,Michel M.,?,,,,,not sure
https://github.com/torvalds/linux/commit/dae40be7a1a72474e225795c0d6f43a4ac596a3f,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/8982f7aff39fb526aba4441fff2525fcedd5e1a3,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/a22730b1b4bf437c6bbfdeff5feddf54be4aeada,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/97e3c6a853f2af9145daf0c6ca25bcdf55c759d4,Michel M.,?,,,,,
https://github.com/torvalds/linux/commit/e86fcf0820d914389b46658a5a7e8969c3af2d53,Michel M.,yes,,,,,revert a problematic change
https://github.com/torvalds/linux/commit/c48ef9c4aed3632566b57ba66cec6ec78624d4cb,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/8a81cf96f5510aaf9a65d103f7405079a7b0fcc5,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/25e73b7e3f72a25aa30cbb2eecb49036e0acf066,Michel M.,yes,,,,,commit msg indicates that this change fixes a bug introduced in another commit
https://github.com/torvalds/linux/commit/88956eabfdea7d01d550535af120d4ef265b1d02,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/ef064187a9709393a981a56cce1e31880fd97107,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/df1c357f25d808e30b216188330e708e09e1a412,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/12d21fc2ba88e3bb41167afb5c6c0e961f2ab0c9,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/8e7f82deb0c0386a03b62e30082574347f8b57d5,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/c86e9ae5e3ad82969fe395414d1d9f173f8e9fd4,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/c91774818b041ed290df29fb1dc0725be9b12e83,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/9af86694fd5d387992699ec99007ed374966ce9a,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/bc6ed2fa24b14e40e1005488bbe11268ce7108fa,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/ccf1dab96be4caed7c5235b1cfdb606ac161b996,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/8cdd9f1aaedf823006449faa4e540026c692ac43,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/5e7e82254270c8cf8b107451c5de01cee2f135ae,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/1bfb2b618d52e59a4ef1896b46c4698ad2be66b7,Michel M.,yes,,,,,
