hash,reviewer,iunderstd,understd,bfc,bpc,prc,nfc,asc,spec,obc,safety,patchset,comment
60f6fe665e,jesus,3,True,0,4,0,0,0,0,0,4.0,False,"From the commit comment: ""Make dcn315 base its clock table off dcfclk rather than fclk"". In other words, reading [1], make the device base its clock table off Display Controller Fabric Clock rather than Fabric Clock. This seems like a BFC (if it is fixing a bug) or a BPC commit (if it is preventing bugs that may happen because of the selection of a wrong clock in some circumstances). Since the device seems to be working before the commit, and no specific scenario is mentioned, I tend to think it is the second case, so I classify it as BPC. However, in the same patch there is also ""adds some sanity checking to make sure an empty pmfw table does not result in invalid dal clocks"", which means this is also a BPF because of that (in this case, a bug is prevented, but there is no specific scenario of how the code as it is now could be causing a malfunction).

I couldn't find a patchset (I couldn't find this message in LORE).

[1] https://docs.kernel.org/gpu/amdgpu/display/dc-glossary.html"
9995c1d096,jesus,4,True,0,0,4,0,0,0,0,0.0,True,"INFO. This commit doesn't seem to fix any bug, or prevent any bug. It is improving the implementation of a specific case, as was suggested by reviewers of a previous commit. From this point of view, it seems it is a PRC. There could be reasons for considering it a NFC, because the commit comment says: ""This would allow for a more consistent resource management for platforms where PAUSE and STOP are handled differently"", which may imply that some new functionality is being added for that kind of platforms. But I find this case to be weak enough to still consider the bug as a PRC.

However, this could be an interesting example for defining where ""perfective commits"" end (in general, they are assumed to not change functionality: does this commit change it?), and where ""new feature"" starts (in this case, it could be that supporting those platforms where PAUSE and STOP and handled differently is enough of a reason to consider it as a new feature?"
7cbeeb0553,jesus,4,True,0,4,0,0,4,0,0,4.0,False,"INFO. This is a bug prevention commit, to fix a warning raised by the compiler. As in other cases, this could be just refactoring (changing the type of a variable), but I tend to consider this as a help for catching future bugs, and therefore BPC. There is room for discussion, anyway."
a3b774342f,jesus,4,True,4,0,0,0,4,0,0,4.0,False,"INFO. This fixes an error, by not detecting shift values that are too large.

Annotators tend to think it is more a BPC than a BFC. Again, this could be a sympthom of drawing better the line between both, or that there are shadows of grey...

The error is detected by specific code in the kernel (the error is shown in the commit message, thus this is also an ASC."
da4363457f,jesus,4,True,0,0,4,0,4,0,0,0.0,False,"Refactoring, with apparently no effect on functionality. Suggested by warnings while compiling, so ASC.

None of the annotators identified it the same way I did (?)"
690b2549b1,jesus,4,True,4,0,0,0,0,0,0,4.0,False,"Bug fix, consisting in ensuring a variable coming from the user cannot ""write beyond the end
of dma_buffer[]"".

Curiously enough, annotators consider it as a BPC mostly... Maybe because it is not clear when user functions could use the variable for overwriting beyond the end of the buffer?"
403d50341c,jesus,3,True,4,0,0,0,0,0,0,4.0,False,"Fixes a problem in a function for copying memory, by having into account some offsets. Seem to fix a bug, which would happen when those offsets are not considered, although I'm not 100% sure I correctly understand the patch."
ec906102e5,jesus,4,True,0,0,4,0,4,0,0,0.0,False,"A performance test is failing, and it is fixed. This does not deal with bugs in the kernel, but helps to test performance, therefore PRC. Triggered by an error when running the tests, so ASC."
9f22f95951,jesus,4,True,0,0,0,4,0,4,0,0.0,True,"INFO. Specific config info for two cameras, which ""don't implement the power line correctly"". This could be a bug (those cameras were not well supported), but also a new feature, since likely those two cameras were not supported at all, and are supported now. Again, this is a matter of deciding if those two cameras were in-specs or off-specs before this commit. Let's assume they were off-specs (in principle, the previous code was correct, in the sense it supported all other supported cameras), and this commit is putting these cameras in-specs, and at the same time, supporting them.

In addition, this commit is part of a patchset [1] which states: ""The goal is still to support the UVC 1.5 power line frequency control extra option (patch 1/7), and work around an issue with devices that do not implement support for disabling the power line frequency (patches 2/7 to 7/7)."" Which again seems to be a new feature (supporting ""UVC 1.5 power line frequency control extra option"").

In any case, yet another example of how definition of what is in-specs and what is off-specs is fundamental to decide if a commit is fixing a bug or adding new functionality.

[1] https://lore.kernel.org/all/20220617235610.321917-1-ribalda@chromium.org/"
747c7cf159,jesus,4,True,4,0,0,0,0,0,0,4.0,True,"The comment for the partchset reads: ""This patch series adds trigger buffer support with data ready interrupt, separate channel for step counter, an event for step change interrupt, activity recognition and activity/inactivity event support."" [1]. This seems to imply a new feature (or several new features) are being implemented. However, the patch itself seems more like a fix. The explanation in the commit diff (LSB stands for ""least significative bit"") is detailed, and seems to imply that the previous values were wrong. So, I lean towards BFC in this case. Somebody with better understanding of the code could say otehrwise, anyway.

[1] https://lore.kernel.org/all/20220505133021.22362-1-jagathjog1996@gmail.com/"
