branch,minor,date
6.1,47,2023-08-23 17:52:42+02:00
6.1,48,2023-08-26 13:27:01+02:00
6.1,49,2023-08-27 21:01:32+02:00
6.1,5,2023-01-12 12:02:59+01:00
6.1,50,2023-08-30 16:11:13+02:00
6.1,51,2023-09-02 09:16:20+02:00
6.1,52,2023-09-06 21:27:03+01:00
6.1,53,2023-09-13 09:43:05+02:00
6.1,54,2023-09-19 12:28:10+02:00
6.1,55,2023-09-23 11:11:13+02:00
6.1,56,2023-10-06 14:57:07+02:00
6.1,57,2023-10-10 22:00:46+02:00
6.1,58,2023-10-15 18:32:41+02:00
6.1,59,2023-10-19 23:08:58+02:00
6.1,6,2023-01-14 10:33:46+01:00
6.1,60,2023-10-25 12:03:17+02:00
6.1,61,2023-11-02 09:35:33+01:00
6.1,62,2023-11-08 14:11:05+01:00
6.1,63,2023-11-20 11:52:19+01:00
6.1,64,2023-11-28 17:07:23+00:00
6.1,65,2023-12-03 07:32:13+01:00
6.1,66,2023-12-08 08:51:20+01:00
6.1,67,2023-12-11 10:41:01+01:00
6.1,68,2023-12-13 18:39:30+01:00
6.1,69,2023-12-20 17:00:29+01:00
6.1,7,2023-01-18 11:58:34+01:00
6.1,70,2024-01-01 12:39:09+00:00
6.1,71,2024-01-05 15:18:41+01:00
6.1,72,2024-01-10 17:10:37+01:00
6.1,73,2024-01-15 18:54:51+01:00
6.1,74,2024-01-20 11:50:11+01:00
6.1,75,2024-01-25 15:27:52-08:00
6.1,76,2024-01-31 16:17:12-08:00
6.1,77,2024-02-05 20:13:03+00:00
6.1,78,2024-02-16 19:06:32+01:00
6.1,79,2024-02-23 09:12:53+01:00
6.1,8,2023-01-24 07:24:44+01:00
6.1,80,2024-03-01 13:26:39+01:00
6.1,81,2024-03-06 14:45:20+00:00
6.1,82,2024-03-13 07:42:17-04:00
6.1,83,2024-03-24 14:37:56-04:00
6.1,84,2024-04-03 15:19:55+02:00
6.1,85,2024-04-10 16:28:36+02:00
6.1,86,2024-04-13 13:05:29+02:00
6.1,87,2024-04-17 11:18:29+02:00
6.1,88,2024-04-27 17:07:18+02:00
6.1,89,2024-04-29 12:32:48+02:00
6.1,9,2023-02-01 08:38:58+01:00
6.1,90,2024-05-02 16:29:32+02:00
6.1,91,2024-05-17 11:56:25+02:00
6.1,92,2024-05-25 16:21:36+02:00
6.1,93,2024-06-12 11:04:00+02:00
6.1,94,2024-06-16 13:41:42+02:00
6.1,95,2024-06-21 14:36:01+02:00
6.1,96,2024-06-27 13:46:24+02:00
6.1,97,2024-07-05 09:32:02+02:00
6.1,98,2024-07-11 12:47:19+02:00
6.1,99,2024-07-15 09:23:49+02:00
6.1,0,2024-07-14 15:43:32-07:00
6.1,1,2024-07-24 15:54:07+02:00
6.1,2,2024-07-27 11:40:36+02:00
6.1,3,2024-08-03 09:01:09+02:00
6.1,4,2024-08-11 12:58:04+02:00
6.1,5,2024-08-14 15:34:38+02:00
6.1,6,2024-08-19 06:05:40+02:00
5.15,0,2021-10-31 13:53:10-07:00
5.15,1,2021-11-06 14:13:31+01:00
5.15,10,2021-12-17 10:30:17+01:00
5.15,100,2023-03-11 13:57:41+01:00
5.15,101,2023-03-12 12:40:14+01:00
5.15,102,2023-03-13 10:20:37+01:00
5.15,103,2023-03-17 08:49:05+01:00
5.15,104,2023-03-22 13:31:37+01:00
5.15,105,2023-03-30 12:48:01+02:00
5.15,106,2023-04-05 11:25:02+02:00
5.15,107,2023-04-13 16:48:27+02:00
5.15,108,2023-04-20 12:13:57+02:00
5.15,109,2023-04-26 13:51:56+02:00
5.15,11,2021-12-22 09:32:52+01:00
5.15,110,2023-05-01 08:23:24+09:00
5.15,111,2023-05-11 23:00:40+09:00
5.15,112,2023-05-17 11:50:31+02:00
5.15,113,2023-05-24 17:36:55+01:00
5.15,114,2023-05-30 13:55:33+01:00
5.15,115,2023-06-05 09:21:27+02:00
5.15,116,2023-06-09 10:32:36+02:00
5.15,117,2023-06-14 11:13:10+02:00
5.15,118,2023-06-21 15:59:19+02:00
5.15,119,2023-06-28 10:29:53+02:00
5.15,12,2021-12-29 12:29:03+01:00
5.15,120,2023-07-05 18:25:05+01:00
5.15,121,2023-07-23 13:47:58+02:00
5.15,122,2023-07-24 19:08:20+02:00
5.15,123,2023-07-27 08:47:05+02:00
5.15,124,2023-08-03 10:22:47+02:00
5.15,125,2023-08-08 19:58:35+02:00
5.15,126,2023-08-11 15:14:00+02:00
5.15,127,2023-08-16 18:22:04+02:00
5.15,128,2023-08-26 14:23:41+02:00
5.15,129,2023-08-30 16:18:22+02:00
5.15,13,2022-01-05 12:42:40+01:00
5.15,130,2023-09-02 09:17:08+02:00
5.15,131,2023-09-06 21:28:41+01:00
5.15,132,2023-09-19 12:23:04+02:00
5.15,133,2023-09-23 11:10:03+02:00
5.15,134,2023-10-06 13:18:24+02:00
5.15,135,2023-10-10 21:59:09+02:00
5.15,136,2023-10-19 23:05:39+02:00
5.15,137,2023-10-25 11:59:04+02:00
5.15,138,2023-11-08 17:26:52+01:00
5.15,139,2023-11-20 11:08:30+01:00
5.15,14,2022-01-11 15:35:19+01:00
5.15,140,2023-11-28 16:56:37+00:00
5.15,141,2023-12-03 07:31:26+01:00
5.15,142,2023-12-08 08:48:05+01:00
5.15,143,2023-12-13 18:36:50+01:00
5.15,144,2023-12-20 15:17:44+01:00
5.15,145,2023-12-23 10:42:00+01:00
5.15,146,2024-01-05 15:13:40+01:00
5.15,147,2024-01-15 18:51:28+01:00
5.15,148,2024-01-25 14:52:56-08:00
5.15,149,2024-02-23 08:55:16+01:00
5.15,15,2022-01-16 09:12:45+01:00
5.15,150,2024-03-01 13:22:01+01:00
5.15,151,2024-03-06 14:38:51+00:00
5.15,152,2024-03-13 07:42:46-04:00
5.15,153,2024-03-24 14:38:21-04:00
5.15,154,2024-04-10 16:19:44+02:00
5.15,155,2024-04-13 13:01:48+02:00
5.15,156,2024-04-17 11:15:18+02:00
5.15,157,2024-04-27 17:05:29+02:00
5.15,158,2024-05-02 16:24:50+02:00
5.15,159,2024-05-17 11:51:06+02:00
5.15,16,2022-01-20 09:13:16+01:00
5.15,160,2024-05-25 16:20:19+02:00
5.15,161,2024-06-16 13:40:01+02:00
5.15,162,2024-07-05 09:14:52+02:00
5.15,163,2024-07-18 13:07:45+02:00
5.15,164,2024-07-27 10:46:18+02:00
5.15,165,2024-08-19 05:45:52+02:00
5.15,17,2022-01-27 11:05:44+01:00
5.15,18,2022-01-29 10:58:25+01:00
5.15,19,2022-02-01 17:27:16+01:00
5.15,2,2021-11-12 15:05:52+01:00
5.15,20,2022-02-05 12:38:59+01:00
5.15,21,2022-02-05 19:21:09+01:00
5.15,22,2022-02-08 18:34:14+01:00
5.15,23,2022-02-11 09:10:27+01:00
5.15,24,2022-02-16 12:56:41+01:00
5.15,25,2022-02-23 12:03:22+01:00
5.15,26,2022-03-02 11:48:10+01:00
5.15,27,2022-03-08 19:12:55+01:00
5.15,28,2022-03-11 12:22:37+01:00
5.15,29,2022-03-16 14:23:47+01:00
5.15,3,2021-11-18 19:17:21+01:00
5.15,30,2022-03-19 13:47:51+01:00
5.15,31,2022-03-23 09:16:44+01:00
5.15,32,2022-03-28 09:58:46+02:00
5.15,33,2022-04-08 14:24:18+02:00
5.15,34,2022-04-13 20:59:28+02:00
5.15,35,2022-04-20 09:34:22+02:00
5.15,36,2022-04-27 14:39:02+02:00
5.15,37,2022-05-01 17:22:35+02:00
5.15,38,2022-05-09 09:14:44+02:00
5.15,39,2022-05-12 12:30:34+02:00
5.15,4,2021-11-21 13:44:15+01:00
5.15,40,2022-05-15 20:18:54+02:00
5.15,41,2022-05-18 10:26:57+02:00
5.15,42,2022-05-25 09:57:37+02:00
5.15,43,2022-05-25 14:42:07+02:00
5.15,44,2022-05-30 09:29:18+02:00
5.15,45,2022-06-06 08:43:42+02:00
5.15,46,2022-06-09 10:23:32+02:00
5.15,47,2022-06-14 18:36:28+02:00
5.15,48,2022-06-16 13:30:35+02:00
5.15,49,2022-06-22 14:22:05+02:00
5.15,5,2021-11-25 09:49:08+01:00
5.15,50,2022-06-25 15:18:40+02:00
5.15,51,2022-06-29 09:03:32+02:00
5.15,52,2022-07-02 16:41:19+02:00
5.15,53,2022-07-07 17:53:35+02:00
5.15,54,2022-07-12 16:35:19+02:00
5.15,55,2022-07-15 10:13:00+02:00
5.15,56,2022-07-21 21:24:44+02:00
5.15,57,2022-07-23 12:54:14+02:00
5.15,58,2022-07-29 17:25:34+02:00
5.15,59,2022-08-03 12:03:56+02:00
5.15,6,2021-12-01 09:04:57+01:00
5.15,60,2022-08-11 13:07:54+02:00
5.15,61,2022-08-17 14:24:32+02:00
5.15,62,2022-08-21 15:17:49+02:00
5.15,63,2022-08-25 11:40:49+02:00
5.15,64,2022-08-31 17:16:52+02:00
5.15,65,2022-09-05 10:30:13+02:00
5.15,66,2022-09-08 12:28:08+02:00
5.15,67,2022-09-08 12:32:54+02:00
5.15,68,2022-09-15 11:30:08+02:00
5.15,69,2022-09-20 12:39:46+02:00
5.15,7,2021-12-08 09:04:57+01:00
5.15,70,2022-09-23 14:15:52+02:00
5.15,71,2022-09-28 11:11:58+02:00
5.15,72,2022-10-05 10:39:44+02:00
5.15,73,2022-10-12 09:53:28+02:00
5.15,74,2022-10-15 07:59:05+02:00
5.15,75,2022-10-26 12:35:57+02:00
5.15,76,2022-10-29 10:12:58+02:00
5.15,77,2022-11-03 23:59:20+09:00
5.15,78,2022-11-10 18:15:43+01:00
5.15,79,2022-11-16 09:58:31+01:00
5.15,8,2021-12-14 10:57:23+01:00
5.15,80,2022-11-26 09:24:52+01:00
5.15,81,2022-12-02 17:41:12+01:00
5.15,82,2022-12-08 11:28:45+01:00
5.15,83,2022-12-14 11:37:31+01:00
5.15,84,2022-12-19 12:36:45+01:00
5.15,85,2022-12-21 17:36:38+01:00
5.15,86,2022-12-31 13:14:48+01:00
5.15,87,2023-01-12 11:59:20+01:00
5.15,88,2023-01-14 10:23:29+01:00
5.15,89,2023-01-18 11:48:59+01:00
5.15,9,2021-12-16 15:17:49+01:00
5.15,90,2023-01-24 07:22:49+01:00
5.15,91,2023-02-01 08:27:30+01:00
5.15,92,2023-02-06 07:59:02+01:00
5.15,93,2023-02-09 11:26:48+01:00
5.15,94,2023-02-14 19:18:05+01:00
5.15,95,2023-02-22 12:57:12+01:00
5.15,96,2023-02-25 12:06:46+01:00
5.15,97,2023-03-03 11:45:54+01:00
5.15,98,2023-03-03 15:14:09+01:00
5.15,99,2023-03-10 09:40:15+01:00
5.10,0,2020-12-13 14:41:30-08:00
5.10,1,2020-12-14 19:33:01+01:00
5.10,10,2021-01-23 16:04:06+01:00
5.10,100,2022-02-11 09:09:03+01:00
5.10,101,2022-02-16 12:54:31+01:00
5.10,102,2022-02-23 12:01:08+01:00
5.10,103,2022-03-02 11:42:57+01:00
5.10,104,2022-03-08 19:09:39+01:00
5.10,105,2022-03-11 12:11:55+01:00
5.10,106,2022-03-16 14:16:03+01:00
5.10,107,2022-03-19 13:44:47+01:00
5.10,108,2022-03-23 09:13:30+01:00
5.10,109,2022-03-28 09:57:11+02:00
5.10,11,2021-01-27 11:55:30+01:00
5.10,110,2022-04-08 14:40:45+02:00
5.10,111,2022-04-13 21:01:11+02:00
5.10,112,2022-04-20 09:23:32+02:00
5.10,113,2022-04-27 13:53:58+02:00
5.10,114,2022-05-09 09:05:09+02:00
5.10,115,2022-05-12 12:25:46+02:00
5.10,116,2022-05-15 20:00:09+02:00
5.10,117,2022-05-18 10:23:49+02:00
5.10,118,2022-05-25 09:18:02+02:00
5.10,119,2022-05-30 09:33:46+02:00
5.10,12,2021-01-30 13:55:20+01:00
5.10,120,2022-06-06 08:42:45+02:00
5.10,121,2022-06-09 10:21:31+02:00
5.10,122,2022-06-14 18:32:47+02:00
5.10,123,2022-06-16 13:28:00+02:00
5.10,124,2022-06-22 14:13:21+02:00
5.10,125,2022-06-25 15:16:09+02:00
5.10,126,2022-06-27 09:41:01+02:00
5.10,127,2022-06-29 08:59:54+02:00
5.10,128,2022-07-02 16:39:25+02:00
5.10,129,2022-07-07 17:52:23+02:00
5.10,13,2021-02-03 23:28:52+01:00
5.10,130,2022-07-12 16:32:23+02:00
5.10,131,2022-07-15 10:14:00+02:00
5.10,132,2022-07-21 21:20:20+02:00
5.10,133,2022-07-25 11:26:57+02:00
5.10,134,2022-07-29 17:19:29+02:00
5.10,135,2022-08-03 12:00:52+02:00
5.10,136,2022-08-11 13:06:47+02:00
5.10,137,2022-08-21 15:16:27+02:00
5.10,138,2022-08-25 11:38:24+02:00
5.10,139,2022-08-29 11:31:49+02:00
5.10,14,2021-02-07 15:37:17+01:00
5.10,140,2022-08-31 17:15:24+02:00
5.10,141,2022-09-05 10:28:59+02:00
5.10,142,2022-09-08 11:11:41+02:00
5.10,143,2022-09-15 11:32:07+02:00
5.10,144,2022-09-20 12:38:33+02:00
5.10,145,2022-09-23 14:17:01+02:00
5.10,146,2022-09-28 11:10:41+02:00
5.10,147,2022-10-05 10:38:43+02:00
5.10,148,2022-10-15 07:55:57+02:00
5.10,149,2022-10-17 17:26:07+02:00
5.10,15,2021-02-10 09:29:23+01:00
5.10,150,2022-10-26 13:25:57+02:00
5.10,151,2022-10-28 13:02:36+02:00
5.10,152,2022-10-30 09:41:19+01:00
5.10,153,2022-11-03 23:57:54+09:00
5.10,154,2022-11-10 18:14:30+01:00
5.10,155,2022-11-16 09:57:20+01:00
5.10,156,2022-11-25 17:45:57+01:00
5.10,157,2022-12-02 17:40:07+01:00
5.10,158,2022-12-08 11:24:00+01:00
5.10,159,2022-12-14 11:32:05+01:00
5.10,16,2021-02-13 13:55:19+01:00
5.10,160,2022-12-19 12:27:32+01:00
5.10,161,2022-12-21 17:32:08+01:00
5.10,162,2023-01-04 11:39:24+01:00
5.10,163,2023-01-14 10:16:53+01:00
5.10,164,2023-01-18 11:45:02+01:00
5.10,165,2023-01-24 07:20:02+01:00
5.10,166,2023-02-01 08:23:27+01:00
5.10,167,2023-02-06 07:56:16+01:00
5.10,168,2023-02-15 17:22:27+01:00
5.10,169,2023-02-22 12:56:00+01:00
5.10,17,2021-02-17 11:02:30+01:00
5.10,170,2023-02-25 11:55:05+01:00
5.10,171,2023-03-03 11:44:52+01:00
5.10,172,2023-03-03 15:13:15+01:00
5.10,173,2023-03-11 16:40:21+01:00
5.10,174,2023-03-13 10:19:37+01:00
5.10,175,2023-03-17 08:45:17+01:00
5.10,176,2023-03-22 13:30:08+01:00
5.10,177,2023-04-05 11:23:52+02:00
5.10,178,2023-04-20 12:10:29+02:00
5.10,179,2023-04-26 11:27:43+02:00
5.10,18,2021-02-23 15:53:25+01:00
5.10,180,2023-05-17 11:48:20+02:00
5.10,181,2023-05-30 12:57:59+01:00
5.10,182,2023-06-05 09:07:04+02:00
5.10,183,2023-06-09 10:30:19+02:00
5.10,184,2023-06-14 11:10:02+02:00
5.10,185,2023-06-21 15:45:41+02:00
5.10,186,2023-06-28 10:28:17+02:00
5.10,187,2023-07-24 19:09:12+02:00
5.10,188,2023-07-27 08:44:44+02:00
5.10,189,2023-08-08 19:57:41+02:00
5.10,19,2021-02-26 10:13:02+01:00
5.10,190,2023-08-11 11:57:56+02:00
5.10,191,2023-08-16 18:21:03+02:00
5.10,192,2023-08-26 15:26:59+02:00
5.10,193,2023-08-30 16:23:20+02:00
5.10,194,2023-09-02 09:18:14+02:00
5.10,195,2023-09-19 12:20:30+02:00
5.10,196,2023-09-21 09:45:15+02:00
5.10,197,2023-09-23 11:01:11+02:00
5.10,198,2023-10-10 21:53:40+02:00
5.10,199,2023-10-25 11:54:26+02:00
5.10,2,2020-12-21 13:30:08+01:00
5.10,20,2021-03-04 11:38:47+01:00
5.10,200,2023-11-08 17:30:52+01:00
5.10,201,2023-11-20 11:06:57+01:00
5.10,202,2023-11-28 16:55:02+00:00
5.10,203,2023-12-08 08:46:16+01:00
5.10,204,2023-12-13 18:27:07+01:00
5.10,205,2023-12-20 15:44:42+01:00
5.10,206,2024-01-05 15:12:32+01:00
5.10,207,2024-01-12 20:56:38+01:00
5.10,208,2024-01-15 18:48:08+01:00
5.10,209,2024-01-25 14:37:57-08:00
5.10,21,2021-03-07 12:34:17+01:00
5.10,210,2024-02-23 08:42:33+01:00
5.10,211,2024-03-01 13:16:51+01:00
5.10,212,2024-03-06 14:37:50+00:00
5.10,213,2024-03-13 07:43:30-04:00
5.10,214,2024-03-24 14:38:39-04:00
5.10,215,2024-04-13 12:59:59+02:00
5.10,216,2024-05-02 16:23:46+02:00
5.10,217,2024-05-17 11:48:11+02:00
5.10,218,2024-05-25 16:19:07+02:00
5.10,219,2024-06-16 13:32:37+02:00
5.10,22,2021-03-09 11:11:15+01:00
5.10,220,2024-06-21 14:54:16+02:00
5.10,221,2024-07-05 09:12:57+02:00
5.10,222,2024-07-18 13:05:52+02:00
5.10,223,2024-07-27 10:40:24+02:00
5.10,224,2024-08-19 05:41:24+02:00
5.10,23,2021-03-11 14:17:30+01:00
5.10,24,2021-03-17 17:06:37+01:00
5.10,25,2021-03-20 10:43:44+01:00
5.10,26,2021-03-25 09:04:18+01:00
5.10,27,2021-03-30 14:32:09+02:00
5.10,28,2021-04-07 15:00:14+02:00
5.10,29,2021-04-10 13:36:11+02:00
5.10,3,2020-12-26 16:02:46+01:00
5.10,30,2021-04-14 08:42:14+02:00
5.10,31,2021-04-16 11:43:22+02:00
5.10,32,2021-04-21 13:01:00+02:00
5.10,33,2021-04-28 13:40:03+02:00
5.10,34,2021-05-02 11:06:09+02:00
5.10,35,2021-05-07 11:04:33+02:00
5.10,36,2021-05-11 14:47:41+02:00
5.10,37,2021-05-14 09:50:46+02:00
5.10,38,2021-05-19 10:13:20+02:00
5.10,39,2021-05-22 11:40:55+02:00
5.10,4,2020-12-30 11:54:29+01:00
5.10,40,2021-05-26 12:06:57+02:00
5.10,41,2021-05-28 13:17:44+02:00
5.10,42,2021-06-03 09:00:52+02:00
5.10,43,2021-06-10 13:39:29+02:00
5.10,44,2021-06-16 12:01:47+02:00
5.10,45,2021-06-18 10:00:06+02:00
5.10,46,2021-06-23 14:42:55+02:00
5.10,47,2021-06-30 09:04:24-04:00
5.10,48,2021-07-07 08:27:50-04:00
5.10,49,2021-07-11 12:53:32+02:00
5.10,5,2021-01-06 14:56:56+01:00
5.10,50,2021-07-14 16:56:55+02:00
5.10,51,2021-07-19 09:45:03+02:00
5.10,52,2021-07-20 16:05:59+02:00
5.10,53,2021-07-25 14:36:22+02:00
5.10,54,2021-07-28 14:35:48+02:00
5.10,55,2021-07-31 08:16:13+02:00
5.10,56,2021-08-04 12:46:45+02:00
5.10,57,2021-08-08 09:05:24+02:00
5.10,58,2021-08-12 13:22:21+02:00
5.10,59,2021-08-15 14:00:27+02:00
5.10,6,2021-01-09 13:46:25+01:00
5.10,60,2021-08-18 08:59:19+02:00
5.10,61,2021-08-26 08:51:21-04:00
5.10,62,2021-09-03 10:09:31+02:00
5.10,63,2021-09-08 08:49:02+02:00
5.10,64,2021-09-12 08:58:28+02:00
5.10,65,2021-09-15 09:50:49+02:00
5.10,66,2021-09-16 12:51:23+02:00
5.10,67,2021-09-18 13:40:38+02:00
5.10,68,2021-09-22 12:28:07+02:00
5.10,69,2021-09-26 14:09:02+02:00
5.10,7,2021-01-12 20:18:27+01:00
5.10,70,2021-09-30 10:11:08+02:00
5.10,71,2021-10-06 15:56:04+02:00
5.10,72,2021-10-09 14:40:58+02:00
5.10,73,2021-10-13 10:04:30+02:00
5.10,74,2021-10-17 10:43:34+02:00
5.10,75,2021-10-20 11:45:06+02:00
5.10,76,2021-10-27 09:56:57+02:00
5.10,77,2021-11-02 19:48:25+01:00
5.10,78,2021-11-06 14:10:10+01:00
5.10,79,2021-11-12 14:58:35+01:00
5.10,8,2021-01-17 14:17:06+01:00
5.10,80,2021-11-18 14:04:33+01:00
5.10,81,2021-11-21 13:46:37+01:00
5.10,82,2021-11-26 10:39:22+01:00
5.10,83,2021-12-01 09:19:10+01:00
5.10,84,2021-12-08 09:03:30+01:00
5.10,85,2021-12-14 11:32:46+01:00
5.10,86,2021-12-16 16:39:01+01:00
5.10,87,2021-12-17 10:14:42+01:00
5.10,88,2021-12-22 09:31:00+01:00
5.10,89,2021-12-29 12:26:08+01:00
5.10,9,2021-01-19 18:27:34+01:00
5.10,90,2022-01-05 12:40:34+01:00
5.10,91,2022-01-11 15:25:03+01:00
5.10,92,2022-01-16 09:14:24+01:00
5.10,93,2022-01-20 09:17:52+01:00
5.10,94,2022-01-27 10:54:36+01:00
5.10,95,2022-01-29 10:26:11+01:00
5.10,96,2022-02-01 17:25:48+01:00
5.10,97,2022-02-05 12:37:57+01:00
5.10,98,2022-02-05 19:20:12+01:00
5.10,99,2022-02-08 18:30:41+01:00
5.4,0,2019-11-24 16:32:01-08:00
5.4,1,2019-11-29 10:10:32+01:00
5.4,10,2020-01-09 10:25:53+01:00
5.4,100,2021-02-23 15:02:26+01:00
5.4,101,2021-02-26 10:10:28+01:00
5.4,102,2021-03-04 10:26:54+01:00
5.4,103,2021-03-07 12:20:50+01:00
5.4,104,2021-03-09 11:09:39+01:00
5.4,105,2021-03-11 14:06:51+01:00
5.4,106,2021-03-17 17:03:58+01:00
5.4,107,2021-03-20 10:39:47+01:00
5.4,108,2021-03-24 11:26:46+01:00
5.4,109,2021-03-30 14:35:30+02:00
5.4,11,2020-01-12 12:21:53+01:00
5.4,110,2021-04-07 14:47:45+02:00
5.4,111,2021-04-10 13:34:32+02:00
5.4,112,2021-04-14 08:24:19+02:00
5.4,113,2021-04-16 11:46:39+02:00
5.4,114,2021-04-21 12:56:18+02:00
5.4,115,2021-04-28 13:19:16+02:00
5.4,116,2021-05-02 11:05:04+02:00
5.4,117,2021-05-07 10:51:38+02:00
5.4,118,2021-05-11 14:04:18+02:00
5.4,119,2021-05-14 09:44:33+02:00
5.4,12,2020-01-14 20:08:40+01:00
5.4,120,2021-05-19 10:08:33+02:00
5.4,121,2021-05-22 11:38:30+02:00
5.4,122,2021-05-26 12:05:21+02:00
5.4,123,2021-05-28 13:10:27+02:00
5.4,124,2021-06-03 08:59:17+02:00
5.4,125,2021-06-10 13:37:17+02:00
5.4,126,2021-06-16 11:59:46+02:00
5.4,127,2021-06-18 09:59:00+02:00
5.4,128,2021-06-23 14:41:32+02:00
5.4,129,2021-06-30 09:17:52-04:00
5.4,13,2020-01-17 19:49:08+01:00
5.4,130,2021-07-07 08:29:57-04:00
5.4,131,2021-07-11 12:52:08+02:00
5.4,132,2021-07-14 16:53:49+02:00
5.4,133,2021-07-19 08:53:18+02:00
5.4,134,2021-07-20 16:10:54+02:00
5.4,135,2021-07-25 14:35:16+02:00
5.4,136,2021-07-28 13:31:02+02:00
5.4,137,2021-07-31 08:19:39+02:00
5.4,138,2021-08-04 12:27:40+02:00
5.4,139,2021-08-08 09:04:09+02:00
5.4,14,2020-01-23 08:23:01+01:00
5.4,140,2021-08-12 13:21:05+02:00
5.4,141,2021-08-15 13:08:06+02:00
5.4,142,2021-08-18 08:57:05+02:00
5.4,143,2021-08-26 08:55:22-04:00
5.4,144,2021-09-03 10:08:16+02:00
5.4,145,2021-09-12 08:56:42+02:00
5.4,146,2021-09-15 09:47:41+02:00
5.4,147,2021-09-16 12:56:14+02:00
