hash,annotator,understand,purpose,bfc,bpc,asc,obvious,safety,timing,memory,info,safety_exp
dbd0f52993,Michel,3,There appears to be a deadlock in a submission.,4,0,0,0,4.0,4.0,,,"As it is a deadlock, we can classify it as SafetyRelated/Timming&Execution."
e6fc9f62ce,Michel,3,A method is disabled when there are clones of the bios,2,2,2,2,,,,,It is not clear to me to what extent this may or may not be a fix.
d2ed913b9a,Michel,3,"It seems that a warning is avoided with the change, which I don't quite understand. It may be a preventive fix",3,3,4,2,2.0,,,, It may be a preventive fix
98cdcd6c6b,Michel,4,Fixed that <0 should be returned for it to be considered an error.,4,2,0,4,2.0,,,,"Although it is a fix, it is not clear to me what problems it could trigger."
3648bcf1c1,Michel,4,The number of queues that may exist is increased. It seems that this was already done in a previous commit but there were specific cases where it was not done.,3,2,2,4,2.0,,,,"I understand that this is a fix, since it is expected that the maximum number of queues can be created in all types of queues."
0ccd789046,Michel,4,"It seems to be a change that only aims to gain efficiency, making some variables (some structs) become constants.",0,0,0,0,,,,,Does not fix anything
fbb1d4b381,Michel,3,Supports and prevents errors in antihios systems that do not support memory execution,4,2,0,4,2.0,,,,"Although it's a fix to older software, I'm not clear what kind of error it ends up causing"
4528668ca3,Michel,4,Minor memory leak fixed,0,0,0,0,,,,,This is a minor memory leak that should not give rise to any errors.
a4c182ecf3,Michel,3,An operation is refactored to be atomic and therefore eliminating a lock that is no longer necessary and caused a recursion spinlock.,4,0,0,0,4.0,4.0,,,"Since the error itself is a spinlock recursion, we can classify it as a timming and execution safety related bug."
b64913394f,Michel,1,"I don't quite understand the change, it seems that the decriptor of a function is modified, instead of its text",2,2,2,2,,,,,I don't quite understand the change
46fee16f57,Michel,4,The change is intended to eliminate duplicate code,0,0,0,0,,,,,"This is a refactoring, not a fix."
58004f2669,Michel,4,High bit painting is disabled.,1,2,0,0,0.0,,,,"It does not seem to fix anything, but seems to try to prevent possible future errors."
7c13c163e0,Michel,3,Try to prepare code for future changes,0,0,0,0,,,,,Does not fix anything
29c8c18363,Michel,2,"A very large set of changes are included. Looking at the comment headers of the commits, it can be seen that they may include fixes, but each of these commits should be studied separately",3,2,2,2,,,,,Cannot evaluate a merge commit
50c5249fca,Michel,2,Try to refactor in order to be able to eliminate code in the future.,0,0,0,0,,,,,Looks more like a refactoring than a fix
8ca97812c3,Michel,3,"Fast string copy is disabled, because for a specific scenario, a kernel panic could occur.",4,0,0,2,4.0,,4.0,,"In this case, the possible error would involve an incorrect reading of the memory."
bdef65de39,Michel,4,Add a processor to the white list,0,0,0,0,,,,,"Added support for identifying a new processor, no bug fixes"
dddb4efa51,Michel,4,Changes in documentation,0,0,0,0,,,,,Changes in documentation
2b0e7ac084,Michel,1,"I think I understand that the code is refactored so that instead of passing it a thermal mesurement of its own, a default one is created.",0,0,0,0,,,,,I do not see any fix mentioned
48e6633a9f,Michel,1,I don't quite understand the change. It seems that code is added to solve a deficiency in certain chips and to avoid software calculations.,2,2,2,2,,,,,I am not clear if not supporting a functionality with certain hardware can be a bug.
c0d08a1401,Michel,3,The code is prepared for subsequent encapsulation.,0,0,0,0,,,,,"It is clearly specified that there are no changes in functionality, that it is a refactoring."
dfb05b5dc3,Michel,2,Added support to be able to edit a configuration property to (I understand) be able to modify it when using Windows (in a dual boot? I'm not sure).,0,0,0,0,,,,,It looks like the addition of a utility
306a20df82,Michel,3,"A configuration file is changed to add a new property, it seems to be the port (maybe it exposes it?)",0,0,0,0,,,,,"A variable is exported, which may be useful, but does not fix the change."
81720ec532,Michel,3,"I think I understand that it is a refactoring, a code is replaced by a call.",0,0,0,0,,,,,"It does not appear to be a fix, or at least there is nothing to indicate it."
f3d6c538c3,Michel,4,Error logs are prevented from being printed,1,0,0,0,,,,,Whether or not to print a log is not a correction to an actual error.
2e1b436239,Michel,4,Apparently it only adds new functionality,0,0,0,0,,,,,"It only adds functionality, it does not correct anything"
c8c206cdc1,Michel,3,I understand that the allocation mechanism is simplified for some drives.,0,0,0,0,,,,,"It looks more like a refactoring, not a bug fix."
f22d1117b9,Michel,4,Change in a comment,0,0,0,0,,,,,Change in a comment
ac3bc88cc5,Michel,2,"It seems to be a matter of separating functionalities, but it is not very clear to me.",0,0,0,0,,,,,Doesn't seem to fix anything
3ee61082b4,Michel,4,A configuration/documentation file is changed to be added to a manufacturer.,0,0,0,0,,,,,Its not a bug
fe895d2560,Michel,4,The fact that a function is checked to be defined with #ifdef is changed to let the compiler do it and not drag this to other drives.,0,0,0,0,,,,,Doesn't seem to fix anything
a0f5a63066,Michel,4,"Code is moved, but functionality is not changed",0,0,0,0,,,,,"Only move code, not a fix"
7f1f481263,Michel,3,It seems that one more security problem is fixed by adding a security check.,4,2,0,0,2.0,,,,"It's a security bug, but I don't see a category within safety-related."
35a82b8713,Michel,3,Added code for compatibility,0,0,0,0,,,,,The code is simply extended to include other implementations.
828f2e9d27,Michel,4,Irrelevant code (a flag) is removed.,0,0,0,0,,,,,Only remove unnecesary code
ea9eb1b550,Michel,4,Removes irrelevant code (some unused macro definitions),0,0,0,0,,,,,Remove unused code
ac76abcbf1,Michel,4,A code is refactored so that the calculation is performed by a separate function.,0,0,0,0,,,,,Nothing fixed
f9e97a1500,Michel,4,"Brackets are removed (the code is not changed as such, it is an esthetic change).",0,0,0,0,,,,,No code changed
f0fbfdf6b0,Michel,4,Code refactoring by duplication,0,0,0,0,,,,,Just a refactor
c2e5e5f80c,Michel,4,"Irrelevant code is eliminated (a variable that never changes its value and is returned, and may return a 0).",0,0,0,0,,,,,Just a refactor
6ae1d6e380,Michel,4,"Irrelevant code is eliminated (a variable that never changes its value and is returned, and may return a 0). Same bug as c2e5e",0,0,0,0,,,,,Just refactor
a944d44a14,Michel,4,"Irrelevant code is eliminated (a variable that never changes its value and is returned, and may return a 0). Same bug as c2e5e",0,0,0,0,,,,,Just refactor
b82f0b575a,Michel,4,This is a refactoring to avoid going through a switch-case.,0,0,0,0,,,,,Just a refactor
bffd6e0a73,Michel,4,This is a refactoring to avoid going through a switch-case. Similar to b82f0,0,0,0,0,,,,,Just a refactor
daed08de44,Michel,4,The boolean type is marked as response for a function since it always returns true/false ,0,0,0,0,,,,,Not a bug
b7e2b5360f,Michel,3,"As the comment says, a new driver is implemented and detailed, it is to drive a clock.",0,0,0,0,,,,,"New func, not a fix"
d111c9f034,Michel,3,"This is a merge that includes 3 changes. Without seeing the other commits in detail, it is difficult to discern if any of them introduces a fix.",2,2,2,2,,,,,Merge commit
0fb3436b4b,Michel,4,"One (obsolete) variable is replaced by another. It is necessary to look at the reasons in another commit, which seems to indicate that the variable names are not consistent.",1,0,0,0,,,,,"Doesn't seem to fix anything, but not many hints are given"
8db55a032a,Michel,3,GFP_MEMALLOC was used in all rasks marked as RPC_TASK_SWAPPER when it was not always necessary. It is not really needed in all cases and the change tries to limit its use.,1,0,0,0,,,,,I don't think I understand its implications well enough to know if it's really a bug or not.
4dc73c6791,Michel,2,It seems that a ptocess (state-manager) may have difficulties to launch in certain scenarios and the solution is to always have it running.,3,0,0,0,3.0,,4.0,,I think it could be a safety-related bug if you really can't create that process in time because you can't reserve the memory.
b65700d046,Michel,4,Code is moved to make it available to other drivers,0,0,0,0,,,,,Not a bug
4d7d4c3fc1,Michel,0,"This is an assembler code change, I just don't understand what the change is about.",2,2,2,2,,,,,Don't know
e382fea8ae,Michel,3,This change fixes a regression introduced,4,0,0,4,2.0,,,,"Although it clearly solves a regression, I am not clear on the scope of the bug to categorize it as safety-related."
4058f74210,Michel,4,The change is about storing the size of a remote file,2,4,0,2,,,,,"It is possible that it is a preventive fix, because that value is really needed, but I am not sure."
689fafd5b5,Michel,2,An assignment (which may be a cleanup) is removed by a cleanup method call,0,0,0,0,,,,,I think that it's a refactor
6a34fdcca4,Michel,2,"It is a merge commit that includes numerous commits. Reading their titles, it is possible that some of them contain fixes.",2,2,2,2,,,,,Merge commit
6283cc9e77,Michel,3,An extra clock that is no longer required is eliminated.,3,0,0,0,3.0,4.0,,,"It is possible that it is a fix to a possible bug on communications, but I am not clear about the scope of this bug."
5d7e282541,Michel,4,"Fixed a problem where if an I/O operation failed, the corresponding retries were not performed (a break was performed).",4,2,0,2,3.0,,,4,"In this case, I think it could be a safety-related error in the category of exchange of information, but I don't see in the examples something like this"
a9f84fb715,Michel,4,Redundant code is eliminated,0,0,0,0,,,,,Redundant code is eliminated
73924ec4d5,Michel,3,"Exceptions are thrown due to unnecessary code execution, this change solves it.",4,0,0,4,3.0,4.0,,,"Depending on how the exceptions are, it could be safety-related (blocking of execution¿?). I am not sure"
7e8906dc26,Michel,3,An assert that seems unnecessary is eliminated,0,0,0,0,,,,,"Unnecessary code is removed, not a fix."
453096eb04,Michel,2,"It is a merge commit that includes numerous commits. Reading their titles, it is possible that some of them contain fixes",2,2,2,2,2.0,,,,Merge commit
7b2f6c3066,Michel,3,"It looks like a fairly well documented bug that has been fixed, namely a copy operation that needs the correct length value, which was wrong before",4,0,0,4,3.0,,4.0,,"If it is a safety-related error, it could be due to mistyping by receiving an incorrect len from the file, but I am not sure."
a8e84a5da1,Michel,4,"A call to free memory is added, which was not done before.",2,0,0,0,,,,,"I think that the problems derived from freeing or not freeing memory are not clear to me, are they fixes if we solve it? do they solve a bug?"
f7eab1ddb9,Michel,4,Methods are renamed,0,0,0,0,,,,,Just a refactor
66dd346b84,Michel,3,It seems that how UUIDs were reported with QEmu was not entirely useful as nothing was checked. It is deactivated.,3,3,0,2,,,,,"I believe it can prevent possible errors, but it is not made clear"
24a4351e1c,Michel,3,A configuration file is updated.,1,0,0,0,,,,,"Although the word ""fixes"" appears, I would say that nothing is being fixed."
83daab0625,Michel,2,"A method call is changed to another method call, it seems that this is a consequence of a warning.",3,2,4,2,,,,,I'm not clear if this actually fixes a real bug or actually just avoids a warning.
8fc5133d6d,Michel,2,Fixed a data access error in a certain architecture.,4,2,0,4,3.0,,4.0,,"I think it would be a memory bug, because the error is derived from an incorrect and not allowed access to memory."
fd0a4b3987,Michel,2,Added code to deal with possible errors,3,0,2,4,,,,,"I believe that by handling the error, the error is avoided. However, I don't understand it very well"
0fe86b27cb,Michel,2,"It is a merge commit that includes two commits. It seems clear that it includes fixes, but you should see the independent commits.",2,2,2,2,,,,,Merge commit
8ddffdb944,Michel,4,"A previous fix only contemplates IPV4, this fix tries to extend the fix to IPV6.",4,2,0,4,,,,,"By not contemplating one case in the other fix, the error is that the same configuration is applied to IPV6 as to IPV4, which can lead to different problems."
4a6471e650,Michel,4,A variable is renamed in documentation,0,0,0,0,,,,,Documentation change
