hash,annotator,understand,purpose,bfc,bpc,asc,obvious,safety,timing,memory,info,safety_exp
74b0fe8040,David,3,It is fixing a part of the code that missread a register capability (8 bytes to 4 bytes),4,0,0,4,3.0,0,4,2,It is safety realted because is a missread of a register. So related to Memory but not sure if its related to exchanging information.
dbd0f52993,David,3,It fixes an execution bug when a system is stucked.,4,1,0,4,3.0,4,0,0,Time and execution bug for me as it stuck a system during the execution.
e6fc9f62ce,David,4,It is a refactor. Also the comment says it.,0,0,0,0,0.0,0,0,0,It is not a bug.
d2ed913b9a,David,3,It is solving a warning declaring a pointer in the right way.,0,3,2,2,0.0,0,0,0,"It is solving a warning, a possible future bug IMO."
98cdcd6c6b,David,4,Fixing a return error.,4,0,0,4,4.0,0,0,4,"An error on a return, so it is considered an error when exchaning information."
3648bcf1c1,David,4,"Increasing a queue limit, a feature.",0,2,0,0,0.0,0,0,0,"It is a feature, so I would say that is not fixinf a bug, but maybe if they not increase the limit it could produce a bug in the future. So I selected I don't know in BPC."
0ccd789046,David,2,"I get the purpose of the commit, I guess that it is a performance feature.",0,0,0,0,0.0,0,0,0,It is a feature.
4528668ca3,David,2,"I get the purpose, they are adding a function to release a poiner.",3,3,0,0,3.0,0,4,0,"It is fixing a bug, a memory leak."
58004f2669,David,3,it is preventing a bug using correctly NUM_ALPHA_EXTS instead of BITS_PER_LONG.,3,4,0,0,3.0,2,0,0,"It is fixing a feature bug, I would say that the bug is about timing and execution, but not totally sure."
4a6471e650,David,2,"It seems the commit changes a way to define the node names, I don't know if it some implications regarding future bugs.",0,2,0,0,2.0,0,2,0,"I'm note sure about if its a Bug preventing commit, regarding the commits it could be a Memory bug."
8ddffdb944,David,2,"It is patching an IPv6 behaviour as the previous commit did with IPv4, I have no access to the previous commit so I partial understand it. ",1,1,0,0,1.0,0,0,0,"I don't get if its fixing a bug, it seems not reading the message, but it is not 100% clear."
0fe86b27cb,David,3,"It is a merge commit with two purposes, one of them is related to minor fixes and the other to a feature.",3,0,0,0,2.0,2,2,2,"The commit has a part of fixing something, but it is not clear the type of bug."
fd0a4b3987,David,3,"After reading the message I would say that the commit is fixing a bug, presented as a WARNING msg.",3,0,0,2,2.0,2,0,0,"Not really sure if it is a bug, but reading the message and the trace it could be time and execution."
8fc5133d6d,David,4,Fixing memory access.,4,0,2,4,4.0,0,4,0,It is fixing a memory access unaligned with 32/64 bits.
24a4351e1c,David,4,It is updating a defconfig because a drives was updated before.,0,4,2,0,2.0,0,0,2,"It is preventing a future bug, but I don't know the type of it."
66dd346b84,David,2,Fix an incorrect UUID assingment of Qemu controllers.,3,2,0,0,0.0,0,0,0,"Fixing a harmless bug, as the msg says."
f7eab1ddb9,David,4,Renaming functions.,0,0,0,0,0.0,0,0,0,Renaming for a better reading/refactoring.
a8e84a5da1,David,3,Fixing a bug when a driver do a probe.,4,0,0,4,4.0,4,0,0,A bug when the drive do the probe in execution.
7b2f6c3066,David,3,"Fixing a bug clearly reported, related to some memory address , bug reported by KASAN report.",4,0,0,4,4.0,0,4,0,"Out of bounds bug, addressing a memory part that is not possible to access."
453096eb04,David,1,"A commit with several changes, including doc changing, cleanups, fixes.",3,2,2,2,3.0,2,2,2,"I don't know how to classificate this commit, it seems in one of the changes it is solving a bug, as I can read something like    - Fix PTE A and D bits in KVM selftest
or 
   - Fix mixed-width VM handling

But with that amount of information for me is too difficult to annotate it."
7e8906dc26,David,3,Removing an assert in an specific case.,0,3,0,0,0.0,0,0,0,"It does not seem a bug, but maybe a future bug."
2b0e7ac084,David,4,It is adding a feature.,0,0,0,0,0.0,0,0,0,"It is not a bug, it is a feature."
48e6633a9f,David,4,Adding support to an specific external ECC engine.,0,0,0,0,0.0,0,0,0,Adding support.
7c13c163e0,David,4,"The message say it clear, it is improving code, so adding a feature.",0,0,0,0,0.0,0,0,0,Feature.
29c8c18363,David,0,"This commit is huge in terms of changes, I cannot understand the purpose neither reading the msg.",2,2,2,2,2.0,2,2,2,I don't understand the commit.
50c5249fca,David,4,It seems this is a commit that is part of a refactor process.,0,0,0,0,0.0,0,0,0,It is a refactor.
8ca97812c3,David,2,A commit that mitigate an erratum of fast copy instructions.,3,2,0,4,4.0,4,0,0,"It talks about kernel panic, so time and execution."
bdef65de39,David,4,Adding a processor to a whitelist.,0,0,0,0,0.0,0,0,0,Not  a bug.
dddb4efa51,David,4,Doc feature commit.,0,0,0,0,0.0,0,0,0,Not a bug.
d29c993027,David,3,"It is improving the code, refactoring.",0,0,0,0,0.0,0,0,0,"It is not a bug fixing, it is refactoring"
b1c87b0874,David,2,Unmapping queues for a possible bug with the CP scheduler.,1,3,0,0,2.0,2,0,0,"I don't get the implications of the bug due to the lack of information, but it seems that the bug could be timing and exectuion as the msg talks about breaking a CP scheduler. "
574ff46f10,David,3,Freeing a pointer.,3,0,0,4,4.0,0,4,0,"Bug regarding pointers, so it should be a memory bug."
66755b4871,David,4,"It is refactoring, moving code from one file to another.",0,3,0,0,0.0,0,0,0,It is not fixing a bug.
4a564e59bf,David,4,Improving code.,0,0,0,0,0.0,0,0,0,It is not a bug.
fbb1d4b381,David,3,It is improving some old code,0,3,0,0,0.0,0,0,0,"It is updating some old code, not fixing a bug."
a4c182ecf3,David,3,Fixing a case when the code enters in a spinlock.,4,0,0,4,4.0,4,0,0,"It is fixing an spinlock, so it is time and execution bug."
b64913394f,David,3,Fixing the reference of a function.,3,0,2,2,4.0,0,0,4,"For me is an exchanign information bug because with the missbehaviour with the reference, it is an incorrect addressing of information"
46fee16f57,David,4,Adding a new helper function,0,0,0,0,0.0,0,0,0,Not a bug
c0d08a1401,David,3,"It is a performance change, avoiding to use pdev, used for printing errors.",0,3,0,0,0.0,0,0,0,Not a bug
dfb05b5dc3,David,4,Feature for changing the interface name via configfs.,0,0,0,0,0.0,0,0,0,Not a bug.
306a20df82,David,4,Updating properties of a driver for supporting a connector.,0,0,0,0,0.0,0,0,0,Not a bug
81720ec532,David,1,I get that they are chaning the call of a function for another. But it does not explain the implications and if it is related to a bug. So I would say that is a performance feature.,0,2,0,0,0.0,0,0,0,Not a bug but a feature.
f3d6c538c3,David,3,"When the error appears they don't want to print the error msg, thats the purpose of the commit.",3,0,0,0,3.0,0,0,4,I would say that is an exchange of information bug when it is related to an ERROR msg.
2e1b436239,David,3,Adding support looking at the msg and the commit changes.,0,0,0,0,0.0,0,0,0,Not a bug
c8c206cdc1,David,3,"They are chaning a function call using one that fits better, improving the performance of the code.",0,0,0,0,0.0,0,0,0,Not a bug.
f22d1117b9,David,4,Fixing a typo in a comment.,0,0,0,0,,0,0,0,Not a bug.
ac3bc88cc5,David,4,"Separating functionalities for better calls, it is a feature.",0,2,0,0,0.0,0,0,0,Not a bug.
3ee61082b4,David,4,"Adding support for a vendor, only the prefix.",0,0,0,0,0.0,0,0,0,Not a bug.
fe895d2560,David,3,Performance feature avoiding the copy of some functions into new drivers.,0,3,0,0,0.0,0,0,0,"A BPC, a future bug can be solved with this commit."
a0f5a63066,David,4,"Preparation for a new support, moving things = refactor.",0,0,0,0,0.0,0,0,0,Not a bug.
7f1f481263,David,1,"It looks like a security feature, adding an extra check.",1,3,0,0,3.0,0,0,2,"Could be a BFC, security related so I woud say exchange of inormation."
35a82b8713,David,3,Adding a feature to support DSP implementation.,0,0,0,0,0.0,0,0,0,Not a bug.
828f2e9d27,David,3,"Refactoring code, improving it removing a flag that is set forcing to check the state.",1,1,0,0,0.0,0,0,0,"For me it is not a bug, at least AFAIK about the msg and changes in the commit."
ea9eb1b550,David,4,Refactor code.,0,0,0,0,0.0,0,0,0,Not a bug.
ac76abcbf1,David,4,"Instead of calculating a type conversion manually this commit adds the feature of calling an existing function, so it is improving the code.",0,0,0,0,0.0,0,0,0,Not a bug.
f9e97a1500,David,4,"Refactor, removing unnecessary braces.",0,0,0,0,0.0,0,0,0,Not a bug.
f0fbfdf6b0,David,3,"Merging two functions, performance feature.",0,0,0,0,0.0,0,0,0,Not a bug.
c2e5e5f80c,David,4,"Removing a uneedeed var, perfomance/refactor commit.",0,0,4,0,0.0,0,0,0,Not a bug.
6ae1d6e380,David,4,"Removing an unneeded var, refactor.",0,0,4,0,0.0,0,0,0,Not a bug.
a944d44a14,David,4,Removing an unneeded var.,0,0,4,0,0.0,0,0,0,Not a bug.
b82f0b575a,David,4,"Removing something that is not needed, replacing it for a function call.",0,0,0,0,0.0,0,0,0,Not a bug.
bffd6e0a73,David,4,Remove a function call not needed since it only set a variable.,0,0,0,0,0.0,0,0,0,Not a bug.
daed08de44,David,4,"Changing the type of  var, from int to bool",0,2,2,0,0.0,0,0,0,"Not a bug, but maybe solving a future bug."
b7e2b5360f,David,4,Implementing a new device driver.,0,0,0,0,0.0,0,0,0,Not a but.
d111c9f034,David,2,"The commit add three changes, they are different between them.",2,2,2,0,2.0,2,2,2,"There is no enough info to annotate the commit, the msg does not gives me the minimum info to know if it is a BFC."
0fb3436b4b,David,4,Removing a deprecated API.,4,0,0,2,2.0,0,0,2,"It is fixing a bug of using a depecrated API, but I'm not sure if it is related to safety. In that case it should be exchange of informatuon."
8db55a032a,David,4,The commit improves a part of the code adding different features.,0,0,0,0,0.0,0,0,0,Not a bug.
4dc73c6791,David,3,This commit adds the behaviour of  keeping a thread active is swap is active.,1,3,0,0,2.0,0,4,0,"It talks about memory allocation, but I'm not sure if the bug is about safety and if it is a bug indeed."
b65700d046,David,4,Exposing a folder to be able to use the API.,0,2,0,0,0.0,0,0,0,Not a bug.
4d7d4c3fc1,David,1,"I get the change and the message, it is moving something into the .text section but I don't get why.",2,2,2,2,2.0,2,2,2,I don't get the purpose of the commit.
e382fea8ae,David,3,"Restoring a flag that was removed accidentaly, this flag is needed in future processes.",4,0,2,4,3.0,4,0,0,It is a bug that occurs in the execution.
4058f74210,David,3,It is adding a feature of saving the remote file size to use it in future processes.,3,3,0,2,3.0,2,0,4,It is fixing a future possible bug or a current bug regarding the missing information about the size of a remote file.
689fafd5b5,David,2,Switching a function use for RTC_FEATURE_UPDATE_INTERRUPT. Which seems to be better.,2,2,2,2,2.0,2,2,2,I don't have information about if the commit solves a bug.
6a34fdcca4,David,1,"A merge commit with lot of changes, including new driver implementation, support of other drivers and also fixes.",2,2,2,2,2.0,2,2,2,I don't know how to annotate this huge commit.
6283cc9e77,David,3,The commit message says that there was a mistaken assumption about an extra clock pulse that led to a timeout being implemented in ps2_gpio_irq_tx().,4,1,0,4,4.0,4,0,0,The issue relates to timing constraints and synchronization between software elements.
5d7e282541,David,3,Address a specific issue related to the behavior of the CIFS when an input/output operation  fails on one of the currently connected dfs targets. ,4,4,0,4,4.0,0,0,4,"input and output operations, so it is related to exhange of informartion."
a9f84fb715,David,4,Refactoring removing redundant initiatilization.,0,1,0,0,0.0,0,0,0,"It is a perfomance change, not a bug."
73924ec4d5,David,3,"Enhance efficiency and reliability of MSR handling during S3 suspend/resume cycles,",0,1,0,0,0.0,0,0,0,"Perfomance improvement, not a BFC."
83daab0625,David,2,Resolve a splat issue with debug kernels,4,1,0,0,4.0,4,0,0,The commit tries to rectify a potential timing issue or execution error
